umur,gender,occupation_group,nominal,periode_transaksi
32,pria,Lainnya,300000,Reguler
33,wanita,Amil,50000,Reguler
48,wanita,PNS,212500,Reguler
37,wanita,PNS,1000000,Reguler
48,wanita,PNS,212500,Reguler
48,wanita,PNS,212500,Reguler
34,wanita,Konsultan,360000,Reguler
36,pria,Amil,152887,Reguler
30,wanita,PNS,436828,Reguler
30,wanita,PNS,229179,Reguler
30,wanita,PNS,237300,Reguler
39,wanita,Akuntansi,50000,Reguler
34,pria,Industri,225000,Reguler
52,pria,Konsultan,2000000,Reguler
47,pria,IT,300000,Reguler
33,pria,Konsultan,1600000,Reguler
33,pria,Konsultan,1600000,Reguler
36,pria,Amil,152887,Reguler
38,pria,Energi,875000,Reguler
28,wanita,Lainnya,1100000,Reguler
47,pria,Amil,280833,Reguler
45,pria,Amil,550000,Reguler
36,wanita,Amil,242654,Reguler
40,pria,Amil,172263,Reguler
52,pria,Amil,189250,Reguler
36,pria,Amil,587500,Reguler
41,pria,Kesehatan,500000,Reguler
49,pria,Amil,875000,Reguler
32,pria,Amil,190365,Reguler
42,pria,Amil,375000,Reguler
48,pria,Amil,219976,Reguler
40,pria,Amil,575000,Reguler
46,pria,Transportasi,50000,Reguler
47,pria,Amil,319074,Reguler
34,pria,Industri,635410,Reguler
48,pria,Amil,15000,Reguler
62,wanita,Amil,800000,Reguler
31,wanita,Amil,171980,Reguler
34,wanita,Amil,170221,Reguler
44,pria,Industri,800000,Reguler
35,pria,Amil,375000,Reguler
48,pria,Amil,220070,Reguler
39,pria,Amil,475000,Reguler
41,wanita,Amil,575000,Reguler
44,pria,Amil,825000,Reguler
37,pria,Amil,550000,Reguler
48,pria,Amil,450000,Reguler
31,wanita,Amil,202917,Reguler
37,pria,Amil,256092,Reguler
36,wanita,Marketing,615825,Reguler
41,pria,Amil,600000,Reguler
39,pria,Amil,209171,Reguler
34,pria,Amil,255174,Reguler
45,pria,Amil,256460,Reguler
31,pria,Amil,246399,Reguler
48,pria,Amil,221038,Reguler
36,pria,Amil,226763,Reguler
37,wanita,Amil,240055,Reguler
35,pria,Pegawai Swasta,387500,Reguler
40,pria,Amil,600000,Reguler
30,pria,Amil,587500,Reguler
39,wanita,Amil,450000,Reguler
45,wanita,Amil,575000,Reguler
31,pria,Amil,190365,Reguler
50,pria,Amil,750000,Reguler
35,pria,Amil,500000,Reguler
31,pria,Amil,249225,Reguler
31,pria,Amil,190645,Reguler
46,pria,Amil,175305,Reguler
35,pria,Amil,258395,Reguler
29,pria,Amil,181330,Reguler
49,pria,Lainnya,591000,Reguler
47,pria,Amil,575000,Reguler
36,pria,Amil,375000,Reguler
69,pria,Amil,475000,Reguler
51,wanita,Amil,500000,Reguler
31,pria,Staff,256754,Reguler
48,pria,Amil,312784,Reguler
47,pria,Energi,1000000,Reguler
32,pria,Akuntansi,125000,Reguler
41,pria,Amil,175750,Reguler
44,pria,Amil,375000,Reguler
35,pria,Amil,375000,Reguler
32,wanita,Amil,263623,Reguler
28,pria,Amil,244514,Reguler
33,pria,Amil,475000,Reguler
31,wanita,Amil,203014,Reguler
51,pria,Amil,167472,Reguler
56,pria,Amil,1250000,Reguler
39,wanita,Amil,587500,Reguler
72,pria,PNS,5000000,Reguler
31,pria,Amil,272710,Reguler
40,pria,Amil,168612,Reguler
39,pria,Amil,825000,Reguler
45,pria,Amil,550000,Reguler
80,pria,Amil,1237500,Reguler
