,umur,gender,nominal,periode_transaksi,kategori_nominal
0,62,1,800000,2,Nominal tinggi
1,4,1,375000,2,Nominal rendah
3,80,0,1237500,2,Nominal tinggi
4,62,1,800000,2,Nominal tinggi
5,80,0,1237500,2,Nominal tinggi
6,4,1,375000,2,Nominal rendah
8,9,0,1000000,2,Nominal tinggi
9,10,1,850000,2,Nominal tinggi
10,9,0,1000000,2,Nominal tinggi
11,4,1,36000,2,Nominal rendah
12,25,1,50000,2,Nominal rendah
14,21,0,500000,2,Nominal tinggi
15,80,0,1237500,2,Nominal tinggi
16,4,1,375000,2,Nominal rendah
17,26,1,120000,2,Nominal rendah
18,62,1,800000,2,Nominal tinggi
19,26,0,140000,2,Nominal rendah
21,65,0,600000,2,Nominal tinggi
22,9,0,1000000,2,Nominal tinggi
23,25,1,50000,2,Nominal rendah
24,22,0,500000,2,Nominal tinggi
28,62,1,800000,2,Nominal tinggi
29,4,1,375000,2,Nominal rendah
30,80,0,1237500,2,Nominal tinggi
31,26,1,117500,2,Nominal rendah
32,25,0,1000,2,Nominal rendah
33,25,0,1,2,Nominal rendah
34,25,0,500,2,Nominal rendah
35,9,0,1000000,2,Nominal tinggi
36,25,1,50000,2,Nominal rendah
37,65,0,600000,2,Nominal tinggi
39,26,0,340000,2,Nominal rendah
40,69,0,500000,2,Nominal tinggi
43,4,1,375000,1,Nominal rendah
44,62,1,800000,1,Nominal tinggi
45,80,0,1237500,1,Nominal tinggi
49,24,1,50000,1,Nominal rendah
52,9,0,1000000,1,Nominal tinggi
55,50,0,500000,1,Nominal tinggi
56,62,1,800000,1,Nominal tinggi
57,80,0,1237500,1,Nominal tinggi
58,4,1,375000,1,Nominal rendah
59,26,0,305000,1,Nominal rendah
61,24,1,15000,1,Nominal rendah
62,61,1,45000,1,Nominal rendah
63,61,0,100000,1,Nominal rendah
64,24,1,15000,1,Nominal rendah
67,29,0,1000000,1,Nominal tinggi
68,36,0,250000,1,Nominal rendah
69,62,1,180000,1,Nominal rendah
70,4,1,375000,1,Nominal rendah
71,62,1,800000,1,Nominal tinggi
72,65,0,500000,1,Nominal tinggi
74,80,0,1237500,1,Nominal tinggi
75,65,0,90000,1,Nominal rendah
76,58,0,180000,1,Nominal rendah
81,23,1,45000,1,Nominal rendah
82,7,0,90000,1,Nominal rendah
84,61,1,90000,1,Nominal rendah
86,23,0,45000,1,Nominal rendah
87,23,0,45000,1,Nominal rendah
88,58,0,1000000,1,Nominal tinggi
89,61,1,45000,1,Nominal rendah
90,60,1,200000,2,Nominal rendah
91,9,0,1000000,2,Nominal tinggi
93,30,0,500000,2,Nominal tinggi
95,25,0,179156,2,Nominal rendah
98,4,1,472500,2,Nominal tinggi
99,62,1,1040000,2,Nominal tinggi
100,4,1,10,2,Nominal rendah
101,65,0,600000,2,Nominal tinggi
102,33,0,500000,0,Nominal tinggi
103,9,0,1000000,0,Nominal tinggi
104,62,1,10000,0,Nominal rendah
105,62,1,10000,0,Nominal rendah
108,60,1,200000,0,Nominal rendah
109,62,1,840000,0,Nominal tinggi
110,80,0,1275028,0,Nominal tinggi
111,4,1,391250,0,Nominal rendah
112,4,1,391250,0,Nominal rendah
113,62,1,840000,0,Nominal tinggi
115,80,0,1275028,0,Nominal tinggi
119,9,0,1000000,2,Nominal tinggi
121,65,0,1000000,2,Nominal tinggi
122,25,0,12,2,Nominal rendah
123,75,0,500000,2,Nominal tinggi
124,7,1,816605,2,Nominal tinggi
125,25,1,50000,2,Nominal rendah
126,9,0,800000,2,Nominal tinggi
127,23,0,200000,2,Nominal rendah
129,67,0,500000,2,Nominal tinggi
130,65,0,550000,2,Nominal tinggi
132,4,1,10001,2,Nominal rendah
133,62,1,800000,2,Nominal tinggi
135,4,1,375000,2,Nominal rendah
136,80,0,1237500,2,Nominal tinggi
138,9,0,800000,2,Nominal tinggi
139,65,0,500000,2,Nominal tinggi
141,24,0,500000,2,Nominal tinggi
142,4,1,10001,2,Nominal rendah
143,80,0,1237500,2,Nominal tinggi
144,62,1,800000,2,Nominal tinggi
145,4,1,375000,2,Nominal rendah
147,9,0,1000000,2,Nominal tinggi
148,60,1,150000,2,Nominal rendah
149,60,1,300000,2,Nominal rendah
152,60,1,62500,2,Nominal rendah
153,25,0,500000,2,Nominal tinggi
154,60,1,150000,2,Nominal rendah
155,60,1,300000,2,Nominal rendah
157,62,1,800000,2,Nominal tinggi
158,80,0,1237500,2,Nominal tinggi
159,4,1,375000,2,Nominal rendah
162,9,0,1000000,2,Nominal tinggi
163,25,0,1000,2,Nominal rendah
164,25,0,11,2,Nominal rendah
165,25,0,10500,2,Nominal rendah
166,25,0,9,2,Nominal rendah
167,20,0,500000,2,Nominal tinggi
168,66,0,1000000,2,Nominal tinggi
169,62,1,800000,2,Nominal tinggi
171,4,1,375000,2,Nominal rendah
172,80,0,1237500,2,Nominal tinggi
173,9,0,1000000,2,Nominal tinggi
174,16,1,1000000,2,Nominal tinggi
176,65,0,600000,2,Nominal tinggi
177,59,0,500000,2,Nominal tinggi
178,65,0,500000,2,Nominal tinggi
179,9,0,500000,2,Nominal tinggi
181,26,0,500000,2,Nominal tinggi
182,8,1,350000,2,Nominal rendah
184,72,0,500000,2,Nominal tinggi
185,72,0,500000,2,Nominal tinggi
186,72,0,500000,2,Nominal tinggi
187,58,0,357573,2,Nominal rendah
188,60,1,250000,2,Nominal rendah
189,60,1,634555,2,Nominal tinggi
190,60,0,511363,2,Nominal tinggi
191,58,0,588783,2,Nominal tinggi
192,60,1,361475,2,Nominal rendah
194,25,0,188315,2,Nominal rendah
195,80,0,1237500,2,Nominal tinggi
196,4,1,232306,2,Nominal rendah
197,62,1,593385,2,Nominal tinggi
198,18,0,300000,2,Nominal rendah
199,8,1,377500,2,Nominal rendah
200,23,0,200000,2,Nominal rendah
202,65,0,500000,2,Nominal tinggi
203,9,0,500000,2,Nominal tinggi
204,25,1,50000,2,Nominal rendah
205,8,1,330000,2,Nominal rendah
206,64,0,1192088,2,Nominal tinggi
207,4,1,10001,2,Nominal rendah
208,76,0,300000,2,Nominal rendah
209,64,0,1192088,2,Nominal tinggi
210,64,0,961940,2,Nominal tinggi
212,41,0,500000,2,Nominal tinggi
213,4,1,232306,2,Nominal rendah
214,62,1,593385,2,Nominal tinggi
215,80,0,1237500,2,Nominal tinggi
216,8,1,377500,2,Nominal rendah
218,8,1,320000,2,Nominal rendah
219,9,0,500000,2,Nominal tinggi
221,76,0,500000,2,Nominal tinggi
222,52,0,300000,2,Nominal rendah
223,58,0,357573,2,Nominal rendah
224,60,1,250000,2,Nominal rendah
225,60,1,361475,2,Nominal rendah
226,60,0,511363,2,Nominal tinggi
227,60,1,634555,2,Nominal tinggi
228,58,0,588783,2,Nominal tinggi
229,64,0,1192088,2,Nominal tinggi
231,62,1,1213231,2,Nominal tinggi
232,80,0,1237500,2,Nominal tinggi
233,4,1,660388,2,Nominal tinggi
234,4,1,50000,2,Nominal rendah
235,9,0,500000,2,Nominal tinggi
236,65,0,500000,2,Nominal tinggi
237,8,1,350000,2,Nominal rendah
238,25,1,20000,2,Nominal rendah
239,25,1,34500,2,Nominal rendah
240,7,1,1027692,1,Nominal tinggi
243,62,0,1000000,1,Nominal tinggi
244,60,1,300000,1,Nominal rendah
245,60,1,150000,1,Nominal rendah
246,40,0,500000,1,Nominal tinggi
253,8,1,252500,1,Nominal rendah
256,62,1,800000,1,Nominal tinggi
257,80,0,1237500,1,Nominal tinggi
258,4,1,375000,1,Nominal rendah
265,25,0,20000,1,Nominal rendah
266,4,1,375000,1,Nominal rendah
268,80,0,1237500,1,Nominal tinggi
269,62,1,800000,1,Nominal tinggi
271,62,1,100000,1,Nominal rendah
272,64,0,1090080,1,Nominal tinggi
273,64,0,1192088,1,Nominal tinggi
276,58,0,1200000,1,Nominal tinggi
277,58,0,180000,1,Nominal rendah
280,58,0,500000,1,Nominal tinggi
285,61,0,315000,1,Nominal rendah
287,8,1,307500,1,Nominal rendah
288,25,0,45000,1,Nominal rendah
292,62,0,1000000,2,Nominal tinggi
293,9,0,500000,2,Nominal tinggi
294,27,0,500000,2,Nominal tinggi
295,80,0,1237500,2,Nominal tinggi
296,62,1,800000,2,Nominal tinggi
298,4,1,375000,2,Nominal rendah
300,64,0,950325,2,Nominal tinggi
302,25,1,50000,2,Nominal rendah
303,9,0,500000,2,Nominal tinggi
304,65,0,500000,2,Nominal tinggi
305,7,1,785280,2,Nominal tinggi
306,8,1,127500,2,Nominal rendah
308,72,0,500000,0,Nominal tinggi
313,80,0,1237500,0,Nominal tinggi
314,4,1,375000,0,Nominal rendah
315,64,0,1173740,0,Nominal tinggi
317,62,1,800000,0,Nominal tinggi
319,4,1,10001,0,Nominal rendah
320,9,0,500000,0,Nominal tinggi
321,23,0,300000,0,Nominal rendah
324,65,0,500000,0,Nominal tinggi
326,7,1,1183994,0,Nominal tinggi
327,80,0,1237500,0,Nominal tinggi
328,4,1,375000,0,Nominal rendah
329,62,1,800000,0,Nominal tinggi
332,79,0,500000,2,Nominal tinggi
335,80,0,1237500,2,Nominal tinggi
337,4,1,375000,2,Nominal rendah
338,62,1,800000,2,Nominal tinggi
339,22,0,825000,2,Nominal tinggi
340,22,0,825000,2,Nominal tinggi
341,22,0,50000,2,Nominal rendah
342,22,0,50000,2,Nominal rendah
343,22,0,20000,2,Nominal rendah
344,22,0,20000,2,Nominal rendah
345,22,0,825000,2,Nominal tinggi
346,22,0,25000,2,Nominal rendah
347,22,0,20000,2,Nominal rendah
348,22,0,15000,2,Nominal rendah
349,22,0,15000,2,Nominal rendah
350,22,0,15000,2,Nominal rendah
351,22,0,15000,2,Nominal rendah
352,22,0,825000,2,Nominal tinggi
353,22,0,825000,1,Nominal tinggi
354,22,0,825000,1,Nominal tinggi
355,22,0,270000,1,Nominal rendah
356,22,0,10002,1,Nominal rendah
357,22,0,60000,1,Nominal rendah
358,22,0,60000,1,Nominal rendah
359,22,0,825000,1,Nominal tinggi
360,22,0,60000,1,Nominal rendah
361,22,0,60000,1,Nominal rendah
362,22,0,60000,1,Nominal rendah
363,22,0,20003,1,Nominal rendah
364,22,0,60000,1,Nominal rendah
365,22,0,1072500,2,Nominal tinggi
366,22,0,866250,0,Nominal tinggi
367,22,0,866250,0,Nominal tinggi
369,22,0,825000,2,Nominal tinggi
370,22,0,825000,2,Nominal tinggi
371,22,0,825000,2,Nominal tinggi
372,22,0,10002,2,Nominal rendah
373,22,0,825000,2,Nominal tinggi
374,22,0,674331,2,Nominal tinggi
375,22,0,8000,2,Nominal rendah
376,22,0,674331,2,Nominal tinggi
377,22,0,1126337,2,Nominal tinggi
378,22,0,825000,1,Nominal tinggi
379,22,0,825000,1,Nominal tinggi
380,22,0,9000,1,Nominal rendah
381,22,0,825000,2,Nominal tinggi
382,22,0,825000,0,Nominal tinggi
383,22,0,825000,0,Nominal tinggi
384,22,0,825000,2,Nominal tinggi
385,27,1,1,2,Nominal rendah
386,27,1,100000,2,Nominal rendah
387,27,1,100000,2,Nominal rendah
388,27,0,366000,2,Nominal rendah
389,27,0,366000,2,Nominal rendah
390,27,1,35001,2,Nominal rendah
391,27,1,10000,2,Nominal rendah
392,27,1,10001,2,Nominal rendah
393,27,1,10001,2,Nominal rendah
394,27,0,240000,2,Nominal rendah
395,27,0,240000,2,Nominal rendah
396,27,1,50000,2,Nominal rendah
397,27,0,211000,2,Nominal rendah
398,27,1,150000,1,Nominal rendah
399,27,1,1001,1,Nominal rendah
400,27,1,10001,1,Nominal rendah
