,umur,gender,occupation,nominal,periode_transaksi,kategori_nominal
0,62,1,Amil,800000,2,Nominal rendah
1,4,1,Amil,375000,2,Nominal rendah
2,72,0,Ketua Dewan Pengawas Syariah PT PNM,5000000,2,Nominal diatas rata-rata
3,80,0,Amil,1237500,2,Nominal rendah
7,65,0,Lain-lain,25000000,2,Nominal tinggi
8,9,0,ASN,1000000,2,Nominal rendah
9,10,1,Amil,850000,2,Nominal rendah
11,4,1,Amil,36000,2,Nominal rendah
13,63,1,Karyawan,2000000,2,Nominal rendah
14,81,0,Tidak Bekerja,500000,2,Nominal rendah
19,26,0,ASN,140000,2,Nominal rendah
21,65,0,Wiraswasta,600000,2,Nominal rendah
25,79,0,Lain-lain,19760000,2,Nominal tinggi
26,60,0,IT,10000000,2,Nominal diatas rata-rata
32,25,0,Karyawan,1000,2,Nominal rendah
33,25,0,Karyawan,1,2,Nominal rendah
34,25,0,Karyawan,500,2,Nominal rendah
39,26,0,ASN,340000,2,Nominal rendah
41,70,0,Pensiunan,3400000,2,Nominal rendah
42,72,0,Ketua Dewan Pengawas Syariah PT PNM,5000000,1,Nominal diatas rata-rata
43,4,1,Amil,375000,1,Nominal rendah
44,62,1,Amil,800000,1,Nominal rendah
45,80,0,Amil,1237500,1,Nominal rendah
46,80,0,Lain-lain,75000000,1,Nominal sedang
47,62,0,Lain-lain,85000000,1,Nominal sedang
49,24,1,Swasta,50000,1,Nominal rendah
50,60,0,IT,25000000,1,Nominal tinggi
51,60,0,IT,75000000,1,Nominal sedang
52,9,0,ASN,1000000,1,Nominal rendah
53,60,0,Tidak Bekerja,20000000,1,Nominal tinggi
54,62,1,Amil,1400000,1,Nominal rendah
55,81,0,Tidak Bekerja,500000,1,Nominal rendah
59,26,0,ASN,305000,1,Nominal rendah
60,74,1,Tidak Bekerja,10000000,1,Nominal diatas rata-rata
61,24,1,Swasta,15000,1,Nominal rendah
62,61,1,Tidak Bekerja,45000,1,Nominal rendah
66,63,1,Karyawan,2000000,1,Nominal rendah
68,81,0,Tidak Bekerja,250000,1,Nominal rendah
69,62,1,Amil,180000,1,Nominal rendah
72,65,0,Wiraswasta,500000,1,Nominal rendah
73,65,0,Lain-lain,10000000,1,Nominal diatas rata-rata
75,65,0,Wiraswasta,90000,1,Nominal rendah
77,70,0,Lain-lain,2500000,1,Nominal rendah
78,58,0,Keuangan,15000000,1,Nominal diatas rata-rata
79,65,0,Wiraswasta,3000000,1,Nominal rendah
80,11,0,Tidak Bekerja,5100000,1,Nominal diatas rata-rata
81,23,1,Mahasiswa,45000,1,Nominal rendah
82,7,0,Asuransi,90000,1,Nominal rendah
83,58,0,Tidak Bekerja,10000000,1,Nominal diatas rata-rata
85,64,0,Wiraswasta,5000000,1,Nominal diatas rata-rata
88,58,0,Tidak Bekerja,1000000,1,Nominal rendah
90,60,1,ASN,200000,2,Nominal rendah
92,26,0,Lain-lain,4359500,2,Nominal diatas rata-rata
94,63,1,Karyawan,1500000,2,Nominal rendah
95,25,0,Karyawan,179156,2,Nominal rendah
96,80,0,Amil,1462665,2,Nominal rendah
98,4,1,Amil,472500,2,Nominal rendah
99,62,1,Amil,1040000,2,Nominal rendah
100,4,1,Amil,10,2,Nominal rendah
102,81,0,Tidak Bekerja,500000,0,Nominal rendah
103,9,0,ASN,1000000,0,Nominal rendah
104,62,1,Amil,10000,0,Nominal rendah
106,76,0,Pensiunan,21000000,0,Nominal tinggi
107,76,0,Pensiunan,2900000,0,Nominal rendah
108,60,1,ASN,200000,0,Nominal rendah
109,62,1,Amil,840000,0,Nominal rendah
110,80,0,Amil,1275028,0,Nominal rendah
111,4,1,Amil,391250,0,Nominal rendah
114,72,0,Ketua Dewan Pengawas Syariah PT PNM,5000000,0,Nominal diatas rata-rata
116,65,0,Wiraswasta,2600000,0,Nominal rendah
117,80,0,Amil,5800000,0,Nominal diatas rata-rata
118,64,0,Tidak Bekerja,25000000,0,Nominal tinggi
121,65,0,Wiraswasta,1000000,2,Nominal rendah
122,25,0,Karyawan,12,2,Nominal rendah
124,7,1,Pendidikan,816605,2,Nominal rendah
126,9,0,ASN,800000,2,Nominal rendah
130,65,0,Wiraswasta,550000,2,Nominal rendah
131,76,1,Lain-lain,5000000,2,Nominal diatas rata-rata
132,4,1,Amil,10001,2,Nominal rendah
137,72,0,Ketua Dewan Pengawas Syariah PT PNM,2058000,2,Nominal rendah
139,65,0,Wiraswasta,500000,2,Nominal rendah
148,60,1,ASN,150000,2,Nominal rendah
149,60,1,ASN,300000,2,Nominal rendah
150,71,1,Wiraswasta,5000000,2,Nominal diatas rata-rata
152,60,1,ASN,62500,2,Nominal rendah
160,72,0,Ketua Dewan Pengawas Syariah PT PNM,2048000,2,Nominal rendah
161,72,0,Ketua Dewan Pengawas Syariah PT PNM,2089650,2,Nominal rendah
164,25,0,Karyawan,11,2,Nominal rendah
165,25,0,Karyawan,10500,2,Nominal rendah
166,25,0,Karyawan,9,2,Nominal rendah
168,66,0,Wiraswasta,1000000,2,Nominal rendah
174,16,1,Wiraswasta,1000000,2,Nominal rendah
175,76,0,Pensiunan,10000000,2,Nominal diatas rata-rata
179,9,0,ASN,500000,2,Nominal rendah
182,8,1,ASN,350000,2,Nominal rendah
183,79,0,Lain-lain,25273156,2,Nominal tinggi
184,72,0,Ketua Dewan Pengawas Syariah PT PNM,500000,2,Nominal rendah
187,58,0,ASN,357573,2,Nominal rendah
188,60,1,ASN,250000,2,Nominal rendah
189,60,1,ASN,634555,2,Nominal rendah
190,60,0,ASN,511363,2,Nominal rendah
191,58,0,ASN,588783,2,Nominal rendah
192,60,1,ASN,361475,2,Nominal rendah
194,25,0,Karyawan,188315,2,Nominal rendah
196,4,1,Amil,232306,2,Nominal rendah
197,62,1,Amil,593385,2,Nominal rendah
198,31,0,BUMN,300000,2,Nominal rendah
199,8,1,Konsultan Pajak,377500,2,Nominal rendah
205,8,1,ASN,330000,2,Nominal rendah
206,64,0,"PT Lintasarta,  Gedung Arcadia, Jl. MH Thamri",1192088,2,Nominal rendah
210,64,0,"PT Lintasarta,  Gedung Arcadia, Jl. MH Thamri",961940,2,Nominal rendah
218,8,1,ASN,320000,2,Nominal rendah
231,62,1,Amil,1213231,2,Nominal rendah
