,umur,gender,occupation_group,nominal,periode_transaksi,kategori_nominal
0,32,0,Lainnya,300000,2,Nominal rendah
1,33,1,Amil,50000,2,Nominal rendah
2,48,1,PNS,212500,2,Nominal rendah
3,37,1,PNS,1000000,2,Nominal rendah
4,48,1,PNS,212500,2,Nominal rendah
5,48,1,PNS,212500,2,Nominal rendah
6,34,1,Konsultan,360000,2,Nominal rendah
7,36,0,Amil,152887,2,Nominal rendah
8,30,1,PNS,436828,2,Nominal rendah
9,30,1,PNS,229179,2,Nominal rendah
10,30,1,PNS,237300,2,Nominal rendah
11,39,1,Akuntansi,50000,2,Nominal rendah
12,34,0,Industri,225000,2,Nominal rendah
13,52,0,Konsultan,2000000,2,Nominal rendah
14,47,0,IT,300000,2,Nominal rendah
15,33,0,Konsultan,1600000,2,Nominal rendah
16,33,0,Konsultan,1600000,2,Nominal rendah
17,36,0,Amil,152887,2,Nominal rendah
18,38,0,Energi,875000,2,Nominal rendah
19,28,1,Lainnya,1100000,2,Nominal rendah
20,47,0,Amil,280833,2,Nominal rendah
21,45,0,Amil,550000,2,Nominal rendah
22,36,1,Amil,242654,2,Nominal rendah
23,40,0,Amil,172263,2,Nominal rendah
24,52,0,Amil,189250,2,Nominal rendah
25,36,0,Amil,587500,2,Nominal rendah
26,41,0,Kesehatan,500000,2,Nominal rendah
27,49,0,Amil,875000,2,Nominal rendah
28,32,0,Amil,190365,2,Nominal rendah
29,42,0,Amil,375000,2,Nominal rendah
30,48,0,Amil,219976,2,Nominal rendah
31,40,0,Amil,575000,2,Nominal rendah
32,46,0,Transportasi,50000,2,Nominal rendah
33,47,0,Amil,319074,2,Nominal rendah
34,34,0,Industri,635410,2,Nominal rendah
35,48,0,Amil,15000,2,Nominal rendah
36,62,1,Amil,800000,2,Nominal rendah
37,31,1,Amil,171980,2,Nominal rendah
38,34,1,Amil,170221,2,Nominal rendah
39,44,0,Industri,800000,2,Nominal rendah
40,35,0,Amil,375000,2,Nominal rendah
41,48,0,Amil,220070,2,Nominal rendah
42,39,0,Amil,475000,2,Nominal rendah
43,41,1,Amil,575000,2,Nominal rendah
44,44,0,Amil,825000,2,Nominal rendah
45,37,0,Amil,550000,2,Nominal rendah
46,48,0,Amil,450000,2,Nominal rendah
47,31,1,Amil,202917,2,Nominal rendah
48,37,0,Amil,256092,2,Nominal rendah
49,36,1,Marketing,615825,2,Nominal rendah
50,41,0,Amil,600000,2,Nominal rendah
51,39,0,Amil,209171,2,Nominal rendah
52,34,0,Amil,255174,2,Nominal rendah
53,45,0,Amil,256460,2,Nominal rendah
54,31,0,Amil,246399,2,Nominal rendah
55,48,0,Amil,221038,2,Nominal rendah
56,36,0,Amil,226763,2,Nominal rendah
57,37,1,Amil,240055,2,Nominal rendah
58,35,0,Pegawai Swasta,387500,2,Nominal rendah
59,40,0,Amil,600000,2,Nominal rendah
60,30,0,Amil,587500,2,Nominal rendah
61,39,1,Amil,450000,2,Nominal rendah
62,45,1,Amil,575000,2,Nominal rendah
63,31,0,Amil,190365,2,Nominal rendah
64,50,0,Amil,750000,2,Nominal rendah
65,35,0,Amil,500000,2,Nominal rendah
66,31,0,Amil,249225,2,Nominal rendah
67,31,0,Amil,190645,2,Nominal rendah
68,46,0,Amil,175305,2,Nominal rendah
69,35,0,Amil,258395,2,Nominal rendah
70,29,0,Amil,181330,2,Nominal rendah
71,49,0,Lainnya,591000,2,Nominal rendah
72,47,0,Amil,575000,2,Nominal rendah
73,36,0,Amil,375000,2,Nominal rendah
74,69,0,Amil,475000,2,Nominal rendah
75,51,1,Amil,500000,2,Nominal rendah
76,31,0,Staff,256754,2,Nominal rendah
77,48,0,Amil,312784,2,Nominal rendah
78,47,0,Energi,1000000,2,Nominal rendah
79,32,0,Akuntansi,125000,2,Nominal rendah
80,41,0,Amil,175750,2,Nominal rendah
81,44,0,Amil,375000,2,Nominal rendah
82,35,0,Amil,375000,2,Nominal rendah
83,32,1,Amil,263623,2,Nominal rendah
84,28,0,Amil,244514,2,Nominal rendah
85,33,0,Amil,475000,2,Nominal rendah
86,31,1,Amil,203014,2,Nominal rendah
87,51,0,Amil,167472,2,Nominal rendah
88,56,0,Amil,1250000,2,Nominal rendah
89,39,1,Amil,587500,2,Nominal rendah
90,72,0,PNS,5000000,2,Nominal sedang
91,31,0,Amil,272710,2,Nominal rendah
92,40,0,Amil,168612,2,Nominal rendah
93,39,0,Amil,825000,2,Nominal rendah
94,45,0,Amil,550000,2,Nominal rendah
95,80,0,Amil,1237500,2,Nominal rendah
96,41,0,Amil,184761,2,Nominal rendah
97,46,0,PNS,537500,2,Nominal rendah
98,54,0,Amil,176799,2,Nominal rendah
99,45,0,Amil,575000,2,Nominal rendah
100,33,1,Amil,450000,2,Nominal rendah
101,30,0,Amil,181019,2,Nominal rendah
102,48,0,Industri,220000,2,Nominal rendah
103,34,0,Marketing,450000,2,Nominal rendah
104,35,0,Industri,200000,2,Nominal rendah
105,36,1,Freelancer,2175089,2,Nominal sedang
106,39,0,Industri,50000,2,Nominal rendah
107,32,0,Amil,6000000,2,Nominal sedang
108,35,0,Teknisi,150000,2,Nominal rendah
109,39,0,Industri,200000,2,Nominal rendah
110,33,0,Energi,1133700,2,Nominal rendah
111,33,0,Amil,100000,2,Nominal rendah
112,40,0,Amil,172263,2,Nominal rendah
113,34,0,Amil,255174,2,Nominal rendah
114,44,0,Amil,375000,2,Nominal rendah
115,41,0,Amil,184761,2,Nominal rendah
116,51,1,Amil,500000,2,Nominal rendah
117,41,0,Amil,175750,2,Nominal rendah
118,39,1,Amil,587500,2,Nominal rendah
119,30,1,Konsultan,637500,2,Nominal rendah
120,32,1,Amil,263623,2,Nominal rendah
121,37,0,Amil,256092,2,Nominal rendah
122,56,0,Amil,1250000,2,Nominal rendah
123,31,0,Amil,170681,2,Nominal rendah
124,39,0,Amil,209171,2,Nominal rendah
125,36,0,Amil,226763,2,Nominal rendah
126,30,0,Amil,587500,2,Nominal rendah
127,46,0,PNS,537500,2,Nominal rendah
128,33,1,Amil,450000,2,Nominal rendah
129,31,0,Amil,190645,2,Nominal rendah
130,29,1,Lainnya,350000,2,Nominal rendah
131,47,0,Amil,319074,2,Nominal rendah
132,50,0,Amil,750000,2,Nominal rendah
133,31,1,Amil,203014,2,Nominal rendah
134,54,0,Amil,176799,2,Nominal rendah
135,40,0,Amil,600000,2,Nominal rendah
136,48,0,Amil,221038,2,Nominal rendah
137,39,1,Amil,450000,2,Nominal rendah
138,28,0,Amil,244514,2,Nominal rendah
139,35,0,Pegawai Swasta,387500,2,Nominal rendah
140,30,0,Amil,181019,2,Nominal rendah
141,36,0,Amil,375000,2,Nominal rendah
142,48,0,Amil,219976,2,Nominal rendah
143,47,0,Amil,280833,2,Nominal rendah
144,31,1,Amil,202917,2,Nominal rendah
145,39,0,Amil,825000,2,Nominal rendah
146,35,0,Amil,375000,2,Nominal rendah
147,31,0,Amil,246399,2,Nominal rendah
148,31,0,Amil,249225,2,Nominal rendah
149,36,0,Amil,587500,2,Nominal rendah
150,41,0,Amil,600000,2,Nominal rendah
151,46,0,Amil,175305,2,Nominal rendah
152,39,0,Amil,475000,2,Nominal rendah
153,69,0,Amil,475000,2,Nominal rendah
154,41,1,Amil,575000,2,Nominal rendah
155,37,1,Amil,240055,2,Nominal rendah
156,51,0,Amil,167472,2,Nominal rendah
157,62,1,Amil,800000,2,Nominal rendah
158,31,0,Amil,272710,2,Nominal rendah
159,52,0,Amil,189250,2,Nominal rendah
160,49,0,Amil,875000,2,Nominal rendah
161,48,0,Amil,450000,2,Nominal rendah
162,35,0,Amil,258395,2,Nominal rendah
163,29,0,Amil,181330,2,Nominal rendah
164,45,1,Amil,575000,2,Nominal rendah
165,32,0,Amil,190365,2,Nominal rendah
166,45,0,Amil,550000,2,Nominal rendah
167,80,0,Amil,1237500,2,Nominal rendah
168,45,0,Amil,256460,2,Nominal rendah
169,45,0,Amil,550000,2,Nominal rendah
170,37,0,Amil,550000,2,Nominal rendah
171,33,0,Amil,475000,2,Nominal rendah
172,36,1,Amil,242654,2,Nominal rendah
173,35,0,Amil,375000,2,Nominal rendah
174,28,1,Industri,296000,2,Nominal rendah
175,34,1,Amil,170221,2,Nominal rendah
176,45,0,Amil,575000,2,Nominal rendah
177,40,0,Amil,575000,2,Nominal rendah
178,31,1,Amil,171980,2,Nominal rendah
179,31,0,Amil,190365,2,Nominal rendah
180,44,0,Amil,825000,2,Nominal rendah
181,35,0,Amil,500000,2,Nominal rendah
182,40,0,Amil,168612,2,Nominal rendah
183,42,0,Amil,375000,2,Nominal rendah
184,47,0,Amil,575000,2,Nominal rendah
185,31,0,Pegawai Swasta,991660,2,Nominal rendah
186,48,0,Amil,312784,2,Nominal rendah
187,48,0,Amil,220070,2,Nominal rendah
188,27,1,Lainnya,100000,2,Nominal rendah
189,54,0,PNS,12000000,2,Nominal diatas rata-rata
190,31,1,Staff,100000,2,Nominal rendah
191,59,0,Pegawai Swasta,4828000,2,Nominal sedang
192,65,0,Konsultan,25000000,2,Nominal tinggi
193,46,1,Akuntansi,280365,2,Nominal rendah
194,39,0,Akuntansi,196955,2,Nominal rendah
195,33,1,Akuntansi,217570,2,Nominal rendah
196,35,0,Industri,250000,2,Nominal rendah
197,30,0,Konsultan,125000,2,Nominal rendah
198,33,1,Staff,173533,2,Nominal rendah
199,39,1,Pegawai Swasta,4865000,2,Nominal sedang
200,38,0,Industri,250000,2,Nominal rendah
201,32,0,Kesehatan,292000,2,Nominal rendah
202,37,1,Kesehatan,12000000,2,Nominal diatas rata-rata
203,32,0,Transportasi,19930000,2,Nominal tinggi
204,32,0,Transportasi,3750000,2,Nominal sedang
205,44,1,Pegawai Swasta,125000,2,Nominal rendah
206,47,0,Industri,850000,2,Nominal rendah
207,37,1,Auditor,50000,2,Nominal rendah
208,27,1,Lainnya,100000,2,Nominal rendah
209,34,0,Lainnya,570082,2,Nominal rendah
210,39,1,Pegawai Swasta,4900000,2,Nominal sedang
211,34,0,PNS,230000,2,Nominal rendah
212,34,1,PNS,186000,2,Nominal rendah
213,33,0,Konsultan,161570,2,Nominal rendah
214,37,1,PNS,350000,2,Nominal rendah
215,32,0,Lainnya,361113,2,Nominal rendah
216,32,0,Lainnya,550000,2,Nominal rendah
217,32,0,Lainnya,300000,2,Nominal rendah
218,32,0,Lainnya,551536,2,Nominal rendah
219,31,0,Lainnya,388945,2,Nominal rendah
220,32,0,Lainnya,550000,2,Nominal rendah
221,34,1,Konsultan,500000,2,Nominal rendah
222,47,0,Industri,2000000,2,Nominal rendah
223,32,0,Lainnya,300000,2,Nominal rendah
224,34,0,Lainnya,368265,2,Nominal rendah
225,31,1,Lainnya,500000,2,Nominal rendah
226,33,1,Akuntansi,523889,2,Nominal rendah
227,31,0,PNS,215000,2,Nominal rendah
228,51,0,Teknisi,388000,2,Nominal rendah
229,28,1,Industri,419000,2,Nominal rendah
230,51,0,Lainnya,944320,2,Nominal rendah
231,41,0,Lainnya,897782,2,Nominal rendah
232,34,0,Lainnya,368265,2,Nominal rendah
233,41,0,Industri,2410000,2,Nominal sedang
234,51,0,Pegawai Swasta,350000,2,Nominal rendah
235,44,1,Lainnya,421000,2,Nominal rendah
236,41,0,Transportasi,100000,2,Nominal rendah
237,41,0,Transportasi,100000,2,Nominal rendah
238,46,0,Konsultan,500000,2,Nominal rendah
239,46,0,Konsultan,500000,2,Nominal rendah
240,33,1,Akuntansi,523889,2,Nominal rendah
241,41,1,Lainnya,559068,2,Nominal rendah
242,45,1,PNS,102333,2,Nominal rendah
243,37,0,Teknisi,175000,2,Nominal rendah
244,55,1,PNS,130520,2,Nominal rendah
245,56,0,PNS,116230,2,Nominal rendah
246,59,1,PNS,133235,2,Nominal rendah
247,27,1,Amil,35001,2,Nominal rendah
248,29,0,Konsultan,110000,2,Nominal rendah
249,29,0,Konsultan,110000,2,Nominal rendah
250,34,0,Konsultan,400000,2,Nominal rendah
251,32,0,PNS,615000,2,Nominal rendah
252,37,1,Auditor,50000,2,Nominal rendah
253,31,0,Lainnya,320000,2,Nominal rendah
254,27,1,Amil,10000,2,Nominal rendah
255,27,1,Amil,10001,2,Nominal rendah
256,37,1,PNS,35000,2,Nominal rendah
257,34,0,Industri,450000,2,Nominal rendah
258,39,1,Akuntansi,50000,2,Nominal rendah
259,29,1,Lainnya,300000,2,Nominal rendah
260,31,1,IT,1000000,2,Nominal rendah
261,37,1,Auditor,50000,2,Nominal rendah
262,63,1,Pegawai Swasta,2000000,2,Nominal rendah
263,55,0,Lainnya,1078290,2,Nominal rendah
264,46,0,Pegawai Swasta,9650000,2,Nominal diatas rata-rata
265,31,0,Staff,256754,2,Nominal rendah
266,33,0,Konsultan,173635,2,Nominal rendah
267,56,0,PNS,128100,2,Nominal rendah
268,38,0,PNS,81100,2,Nominal rendah
269,34,0,Industri,255000,2,Nominal rendah
270,32,0,Lainnya,100000,2,Nominal rendah
271,37,1,Auditor,50000,2,Nominal rendah
272,32,1,Staff,1050000,2,Nominal rendah
273,33,0,Wiraswasta,590000,2,Nominal rendah
274,35,0,Amil,375000,2,Nominal rendah
